key,en,my,mnw
docs_getting_started_desc,MonOCR Web works directly in your browser. No installation required. Upload an image or PDF to start.,မွန် OCR Web သည် ဘရောက်ဇာတွင် တိုက်ရိုက် အလုပ်လုပ်ပါသည်။ ဆော့ဖ်ဝဲလ် ထည့်သွင်းရန် မလိုပါ။,MonOCR Web ဂှ် ကၠောန်ကမၠောန် ပ္ဍဲဘရောက်ဇာရ။ ဟွံဒးစုတ် software။ စုတ်ပ္တိုန်ရုပ် သာ်ဟွံသေင် PDF တုဲ စကာမာန်ရ။
docs_usage,How to Use,အသုံးပြုနည်း,နဲစကာ
docs_usage_step1,1. Select an image or PDF file.,၁။ ပုံ သို့မဟုတ် PDF ဖိုင်ကို ရွေးပါ။,၁။ ရွေးစုတ် ဖိုင်ရုပ် သာ်ဟွံသေင် PDF။
docs_usage_step2,2. Wait for the model to download (once).,၂။ မော်ဒယ် ဒေါင်းလုဒ်ဆွဲသည်အထိ ခဏစောင့်ပါ။,၂။ မင်ကဵု မော်ဒယ် ဒေါင်းလုဒ် တုဲဒှ်ညိ။
docs_usage_step3,3. Review the extracted text.,၃။ ထွက်ပေါ်လာသော စာသားကို စစ်ဆေးပါ။,၃။ စၟဳစၟတ် တင်လိခ် မတိတ်ကၠုင်ဂှ်ညိ။
docs_usage_step4,4. Copy or download the result.,၄။ ကူးယူပါ သို့မဟုတ် ဒေါင်းလုဒ်ဆွဲပါ။,၄။ ကွုတ် သာ်ဟွံသေင် ဒေါင်းလုဒ် တင်ဂှ်ညိ။
docs_privacy,Privacy & Security,ကိုယ်ရေးအချက်အလက် လုံခြုံမှု,ဂီုက္ဍဟ်
docs_privacy_desc,All processing happens on your machine. No files are uploaded to the internet.,လုပ်ငန်းစဉ်အားလုံးသည် သင့်စက်ထဲတွင်သာ အလုပ်လုပ်ပါသည်။ ဖိုင်များကို အင်တာနက်ပေါ်သို့ ပေးပို့ခြင်း မရှိပါ။,ကမၠောန်ဖအိုတ်ဂှ် ကၠောန်ဒၟံင် ပ္ဍဲစက်မၞးရ။ ဟွံဒးပလံင် ဖိုင် ပ္ဍဲအေန်တာနေတ်ရ။
main_hero,Mon OCR Project for preserving Mon language in the digital age.,မွန်ဘာသာစကားကို ဒစ်ဂျစ်တယ်ခေတ်တွင် ထိန်းသိမ်းရန် မွန် OCR ပရောဂျက်။,ပရဝ်ဂျေသူ Mon OCR သွက်ဂွံမင်မွဲအာ လိခ်မန် ပ္ဍဲလောက ဒစ်ဂျစ်တယ်ရ။
main_requirements,Requirements: Modern browser with hardware acceleration and 4GB+ RAM.,လိုအပ်ချက်များ - ခေတ်မီ ဘရောက်ဇာနှင့် 4GB+ RAM လိုအပ်သည်။,နိးနွံပၟိက် - Browser ခိုဟ်ဟ် ကဵု hardware acceleration ကေုာံ 4GB+ RAM ရ။
main_model_info,Model file (26.3MB) is downloaded once and works offline.,မော်ဒယ်ဖိုင် (26.3MB) ကို တစ်ကြိမ်သာ ဒေါင်းလုဒ်ဆွဲရန် လိုအပ်ပြီး အော့ဖ်လိုင်း အသုံးပြုနိုင်သည်။,မော်ဒယ်ဖိုင် (26.3MB) ဂှ် ဒေါင်းလုဒ် ဆွဲမွဲဝါတုဲ စကာအော့ဖ်လိုင်းမာန်ရ။
main_loading_model,Loading model from Hugging Face... (Please wait),မော်ဒယ်ကို ဒေါင်းလုဒ်ဆွဲနေသည်... (ခဏစောင့်ပါ),ဒေါင်းလုဒ် ဆွဲမံင် မော်ဒယ် နူ Hugging Face... (ခဏမင်ညိ)
main_engine_ready,Engine ready (Cached for offline use),အင်ဂျင် အဆင်သင့်ဖြစ်ပါပြီ (အော့ဖ်လိုင်း အသုံးပြုနိုင်ရန် သိမ်းထားပြီး),အင်ဂျင် အဆင်ပြေယျ (သိမ်းလဝ် သွက်ဂွံစကာ အော့ဖ်လိုင်း)
main_process_another,Process Another,အသစ် တစ်ကြိမ် ပြန်လုပ်ရန်,စကာတၟိမွဲဝါပၠန်
main_extracted_text,Extracted Text,ထွက်ပေါ်လာသော စာသား,တင်လိခ် မတိတ်ကၠုင်
main_words,Words,စကားလုံး,မလိခ်
main_chars,Chars,စာလုံး,မလိခ်
main_no_text,No text detected,စာသား မတွေ့ပါ,ဟွံဂွံ တင်လိခ်
main_save_text,Save as Text File,ဖိုင်အဖြစ် သိမ်းဆည်းရန်,သိမ်းလဝ် နကဵု ဖိုင်လိခ်
main_copy_clipboard,Copy,ကူးယူရန်,ကွုတ်
main_copied,Copied!,ကူးယူပြီးပါပြီ!,ကွုတ်တုဲယျ!
main_scanning,Scanning...,စစ်ဆေးနေသည်...,စၟဳစၟတ်မံင်...
main_processing_page,Processing page {current} of {total}...,စာမျက်နှာ {current} ကို {total} ထဲမှ လုပ်ဆောင်နေသည်...,ကၠောန်မံင် မုက်လိခ် {current} ပ္ဍဲ {total}...
error_engine_load,OCR Engine failed to load - {msg},OCR အင်ဂျင် အလုပ်မလုပ်ပါ - {msg},အင်ဂျင် OCR စကာဟွံဂွံ - {msg}
error_file_large,File is too large (max {max}MB),ဖိုင် အရွယ်အစား ကြီးလွန်းသည် (အများဆုံး {max}MB),ဖိုင်ဇၞော်လောန်အာ (အောန်အိုတ် {max}MB)
error_file_type,"Invalid file type. Use JPG, PNG, WEBP, or PDF.","ဖိုင်အမျိုးအစား မှားယွင်းနေသည်။ JPG, PNG, WEBP, PDF သာ အသုံးပြုပါ။","ဖိုင်ဟွံဒး။ စကာ JPG, PNG, WEBP, PDF ညိ။"
error_pdf_failed,PDF processing failed - {msg},PDF လုပ်ဆောင်မှု မအောင်မြင်ပါ - {msg},PDF ကၠောန်ဟွံဂွံ - {msg}
error_ocr_failed,OCR failed - {msg},OCR လုပ်ဆောင်မှု မအောင်မြင်ပါ - {msg},OCR ကၠောန်ဟွံဂွံ - {msg}
footer_platform,Platform,ပလက်ဖောင်း,ပလက်ဖောင်း
footer_community,Community,လူမှုအသိုင်းအဝိုင်း,ဂကောံ
footer_legal,Legal,ဥပဒေရေးရာ,သၞောဝ်
footer_api_docs,API Docs,API စာရွက်စာတမ်း,လိခ်ဗွဟ် API
footer_integrations,Integrations,ချိတ်ဆက်မှုများ,ပံင်ဗစိုပ်
footer_heritage_projects,Heritage Projects,အမွေအနှစ် ပရောဂျက်များ,ပရဝ်ဂျေသူ အာဲကၟာဲ
footer_guidelines,Guidelines,လမ်းညွှန်ချက်များ,တင်စညး
footer_forum,Forum,ဖိုရမ်,ဝိုင်ဓရီု
footer_privacy,Privacy Policy,ကိုယ်ရေးကိုယ်တာ မူဝါဒ,အခေါင်ပူဂိုလ်
footer_terms,Terms of Service,စည်းကမ်းချက်များ,တင်စညး
footer_twitter,Twitter,Twitter,Twitter
footer_linkedin,LinkedIn,LinkedIn,LinkedIn
footer_tagline,A production-grade OCR system for Mon language preservation.,မွန်ဘာသာစကား ထိန်းသိမ်းရန် OCR စနစ် ဖြစ်သည်။,ဒှ်စနစ် OCR မွဲ သွက်ဂွံမင်မွဲအာ လိခ်မန် ပ္ဍဲကဵု ဒၞာဲဒ္စာံ။
